0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B_1,ABBV,INTC,ABT,,,,,,,,,,,,,,,,,,,,,
B_2,BA,AXP,ACN,GD,AMZN,APC,EMR,RTN,BMY,QCOM,UPS,COP,DOW,FCX,UNP,V,CVX,DD,CAT,LOW,NSC,ORCL,HON,SLB
B_3,BAC,,,,,,,,,,,,,,,,,,,,,,,
B_4,BK,HD,VZ,PEP,UNH,BAX,CSCO,,,,,,,,,,,,,,,,,
B_5,C,EXC,CL,,,,,,,,,,,,,,,,,,,,,
B_6,TGT,PG,OXY,MA,MO,MSFT,IBM,WAG,CVS,,,,,,,,,,,,,,,
B_7,COF,DVN,EBAY,UTX,,,,,,,,,,,,,,,,,,,,
B_8,NKE,AAPL,GE,EMC,MMM,LMT,MON,F,TWX,DIS,,,,,,,,,,,,,,
B_9,WFC,JPM,,,,,,,,,,,,,,,,,,,,,,
B_10,HPQ,HAL,AEP,LLY,JNJ,NOV,COST,SBUX,TXN,GOOG,MCD,,,,,,,,,,,,,
B_11,MDLZ,MRK,FDX,PM,AMGN,MDT,PFE,WMT,KO,,,,,,,,,,,,,,,
B_12,GS,T,APA,MET,,,,,,,,,,,,,,,,,,,,
B_13,USB,SPG,MS,ALL,SO,GILD,XOM,,,,,,,,,,,,,,,,,
